Id,Sentence,Category
208,will it be warm in zambia at 9 pm,GetWeather
209,weather for close-by parc national de kolkheti,GetWeather
210,book a table at skycity in salado for me and hannah,BookRestaurant
211,find projections an album,SearchCreativeWork
212,check the weather forecast for chisholm kentucky,GetWeather
213,i feel that zero out of 6 points would be the rating of queen of the dawn,RateBook
214,how is the weather in mount olivet,GetWeather
215,book a reservation for nine at an outdoor restaurant,BookRestaurant
216,add an abrar ul haq track to my playlist soul lounge,AddToPlaylist
217,please play a song for me from 1959,PlayMusic
218,book a restaurant for 2 at a cafe that i can get a croissant at,BookRestaurant
219,play 1966 theme music on slacker,PlayMusic
220,i want a table for eight in yakima rhode island,BookRestaurant
221,find casting crowns discography,SearchCreativeWork
222,i d like to book a reservation for next spring for nine people at shore club,BookRestaurant
223,get me a johnny cool photograph,SearchCreativeWork
224,what time is the daring dobermans playing,SearchScreeningEvent
225,play jeff pilson on youtube,PlayMusic
226,what is the current selling price of the novel the sims 3: island paradise,SearchCreativeWork
227,can i get the movie schedule for 8 a m,SearchScreeningEvent
228,add ali lohan songs in club hits,AddToPlaylist
229,what is the mississippi for the week,GetWeather
230,play a twenties track by the aj carothers on zvooq,PlayMusic
231,rate steps two out of 6 points,RateBook
232,please search for all the lovers trailer,SearchCreativeWork
233,what films are playing at the closest cinema,SearchScreeningEvent
234,will it be rainy this monday in le center thailand,GetWeather
235,rate equal affections one points,RateBook
236,what time is a ball at the anjo house playing,SearchScreeningEvent
237,add this extended play to women s lit playlist,AddToPlaylist
238,find once upon a time in the west,SearchCreativeWork
239,find a reservation at sunset at a gastropub for 2 people,BookRestaurant
240,find time for all about hash,SearchScreeningEvent
241,show the movie schedules,SearchScreeningEvent
242,movie schedules at amc theaters,SearchScreeningEvent
243,will it be freezing here at 06:31:22 am,GetWeather
244,does wildorado have a hot temperature,GetWeather
245,add this is andrés calamaro by milk,AddToPlaylist
246,rate this essay four out of 6,RateBook
247,add décadas to my list neo da matrix,AddToPlaylist
248,add mc ren to my it s a southern thing playlist,AddToPlaylist
249,can i see the boat people,SearchCreativeWork
250,book a restaurant on martin luther king jr day with parking,BookRestaurant
251,book a reservation for seven people at a steakhouse in kenya,BookRestaurant
252,play tina cousins from 1956,PlayMusic
253,find the novel peace arch news,SearchCreativeWork
254,what is the weather for my current place,GetWeather
255,book a table for nine people next mar,BookRestaurant
256,this series gets 2 out of 6 stars,RateBook
257,include kunnon syy in my trap land playlist,AddToPlaylist
258,play music from 2012 on google music,PlayMusic
259,what is the forecast starting on september 1 2039 for chillier conditions in ak,GetWeather
260,give two points out of 6 to this essay,RateBook
261,can you play something off my kids workout playlist on groove shark,PlayMusic
262,i would rate this album a 3,RateBook
263,rate the current essay 2 out of 6,RateBook
264,rate the current album a 2,RateBook
265,i need to find a restaurant in pw,BookRestaurant
266,play dancing through life by ronald isley on spotify,PlayMusic
267,play some avantgarde music on netflix,PlayMusic
268,will it be sunny in spain on 3/26/2023,GetWeather
269,show me movie schedules,SearchScreeningEvent
270,what is the humidity like in leoti,GetWeather
271,rate the change 0 out of 6 points,RateBook
272,add rattus at the roundhouse to my funk playlist,AddToPlaylist
273,play a song off the best of siouxsie & the banshees by faustino oramas,PlayMusic
274,how much hotter will it be here tomorrow,GetWeather
275,book a table for 9 people for four pm in johnson,BookRestaurant
276,find the black girl in search of god trailer,SearchCreativeWork
277,where can i see the trailer of take me to the king,SearchCreativeWork
278,what time is rites of spring playing at marcus corporation,SearchScreeningEvent
279,what will the weather be in nationalpark rila on nov 25,GetWeather
280,i want to book a spot at a bar in henniker north dakota,BookRestaurant
281,book rosalie stewart and evelyn at a restaurant,BookRestaurant
282,add the name covenant to the playlist fusion fest,AddToPlaylist
283,add banking violence and the inner life today to my retro gaming playlist,AddToPlaylist
284,add to ila s playlist a mi manera recopilatorio the name my heart stood still,AddToPlaylist
285,book a table for 2 guests at a restaurant in lazy mountain ny,BookRestaurant
286,i want to give the pilgrims of rayne three out of 6 stars,RateBook
287,add song to this is philip glass,AddToPlaylist
288,out of 6 i give the following book zero,RateBook
289,rate this series five out of 6,RateBook
290,can you get me seating for 5 people 1 minute from now in tuvalu,BookRestaurant
291,add sonntag to my assassin s creed,AddToPlaylist
292,add already over pt 2 to hip hop 2017 new school,AddToPlaylist
293,will it be snowy in florewood state park,GetWeather
294,book a restaurant in fl in the city of lochearn for my step son and i,BookRestaurant
295,give 0 out of 6 stars to reality of certainty,RateBook
296,rate the current essay 5 of 6,RateBook
297,add nib to fay s brooklyn beat playlist,AddToPlaylist
298,find a reservation at berowra waters inn in australia in 2 years,BookRestaurant
299,will you play my nuestros 80 playlist,PlayMusic
300,rate the current novel one out of 6,RateBook
301,rate this textbook 2 of 6 stars,RateBook
302,rate this book a five,RateBook
303,i want to see everytime we touch which is a painting,SearchCreativeWork
304,book me a restaurant that serves hot chicken in dutch mills north dakota for 10 people for 3 am,BookRestaurant
305,will it still be warm nineteen hours from now in pa,GetWeather
306,rate my current essay zero out of 6,RateBook
307,book a highly rated restaurant with northeastern for 10 in satanta,BookRestaurant
308,the naked and the dead was pretty good i d give it four stars,RateBook
309,add desert sessions to my i love my 80 s rollerdisco playlist,AddToPlaylist
310,search for the un provinciale a new york tv show,SearchCreativeWork
311,find the deathsmiles ii soundtrack,SearchCreativeWork
312,i need a popular moroccan cafeteria,BookRestaurant
313,is the young guard playing at the closest cinema,SearchScreeningEvent
314,find cluster computing a game,SearchCreativeWork
315,find a photograph called between the days,SearchCreativeWork
316,i need a reservation at the one eighty for elsa and wendy in muscle shoals,BookRestaurant
317,please book me a table for three at an american gastropub,BookRestaurant
318,find a movie house with hollow reed,SearchScreeningEvent
319,give zero out of 6 points to marxism and the oppression of women,RateBook
320,what movie schedule are in the area for animated movies,SearchScreeningEvent
321,she me the movie times,SearchScreeningEvent
322,book a spot at a restaurant faraway from 138th st,BookRestaurant
323,i give the previous saga 4 out of 6,RateBook
324,rate how to eat fried worms two stars,RateBook
325,i need a cambodian brasserie restaurant that is top-rated,BookRestaurant
326,book a table for seven people at a restaurant which has internet,BookRestaurant
327,i want to add johnny burke to the country bound playlist,AddToPlaylist
328,rate the tritonian ring zero,RateBook
329,what is the movie schedule at loews cineplex entertainment,SearchScreeningEvent
330,find the photographic journal,SearchCreativeWork
331,is convoy busters playing,SearchScreeningEvent
332,what films and movie schedule are in the area,SearchScreeningEvent
333,can i see the tv show the closer i get,SearchCreativeWork
334,add i hate myself and i want to die to my six string peacefulness,AddToPlaylist
335,find me haunted castle,SearchCreativeWork
336,find the nearest movie theatre with movies,SearchScreeningEvent
337,book a restaurant for 4 of us,BookRestaurant
338,search for the painting smart money,SearchCreativeWork
339,what time will the age of success be showing,SearchScreeningEvent
340,add this track to my gold school playlist,AddToPlaylist
341,can you pull up the american music awards of 1975,SearchCreativeWork
342,which films are playing at malco theatres,SearchScreeningEvent
343,can i know what animated movies are scheduled in the neighbourhood,SearchScreeningEvent
344,where can i watch the tv show terrorists: the kids they sentenced,SearchCreativeWork
345,where can i find the tv show of the school teacher in the house,SearchCreativeWork
346,are there any animated movies playing in the neighborhood,SearchScreeningEvent
347,add the spirit of life to nação reggae,AddToPlaylist
348,add tarkan to my madrugando playlist,AddToPlaylist
349,add totally stress free by bobby lord to my playlist,AddToPlaylist
